Прізвище,Ім'я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Андріїшина,Роксолана,Демидівна,Жінка,20.05.1977,Електротехнік,хутір Вознесенівка,"вулиця Кладовищний, буд. 1 кв. 385, Іловайськ, 03850",116-44-55,trokhymsuprunenko@example.org
Цимбалюк,Лариса,Григоріївна,Жінка,17.04.1987,Єгер,село Бережани,"парк Утьосова, буд. 12 кв. 3, Хрустальний, 72454",071 386-63-88,fareniukielysei@example.com
Алексюк,Лариса,Борисівна,Жінка,11.01.2000,Реабілітолог,хутір Гнівань,"парк Балтський 3-й, буд. 11 кв. 0, Чугуїв, 12000",393 42 10,tymofiiverkhola@example.net
Чередник,Богданна,Мартинівна,Жінка,11.11.1963,Менеджер,місто Оріхів,"проспект Лузанівка, буд. 81, Носівка, 35654",151 14 19,aaron54@example.com
Фесенко,Онисим,Богуславович,Чоловік,11.07.1989,Машиніст,село Заводське,"провулок Трудова, буд. 1 кв. 5, Дебальцеве, 79751",+380 (47) 460-38-75,schernenko@example.com
Кириленко,Григорій,Леопольдович,Чоловік,14.05.1983,Мікробіолог,місто Долина ,"набережна Новаторів, буд. 64, Немирів, 13699",+380 (80) 629-98-31,yorlyk@example.com
Чекалюк,Святослава,Соломонівна,Жінка,06.10.1969,Географ,хутір Первомайський ,"провулок Іподромний, буд. 31 кв. 743, Сніжне, 51843",+380 (55) 624-50-39,maryna30@example.com
Охріменко,Демʼян,Михайлович,Чоловік,02.07.1965,Випробувач,село Фастів,"шосе 3-тя Лінія 4-ї ст. Люстдорфської дороги, буд. 6, Шумськ, 34039",+380 (25) 502-64-24,hannababych@example.com
Москаль,Петро,Ігорович,Чоловік,27.11.1964,Піаніст,селище Хорол ,"площа Ямська, буд. 94 кв. 619, Славутич, 69804",623 27 51,kostiantynmakohon@example.com
Іващенко,Едуард,Азарович,Чоловік,16.09.1987,Кур'єр,місто Прип'ять ,"набережна Штабний, буд. 1, Ківерці, 83404",+380 (04) 582-18-57,piddubnaliliia@example.net
Нестайко,Аніта,Веніяминівна,Жінка,02.05.1993,Юрист,хутір Бобринець,"проспект Хімічний 1-й, буд. 98, Красилів, 90393",+380 07 701-20-91,tartemenko@example.com
Макаренко,Орися,Устимівна,Жінка,01.05.1961,Електромонтажник,хутір Соснівка ,"набережна Аеродромний 3-й, буд. 5, Буринь, 60534",+380 88 213 33 02,hryhoriidrobiazko@example.com
Алексійчук,Панас,Тимофійович,Чоловік,04.12.1960,Стоматолог,хутір Херсон,"узвіз Книжковий, буд. 7, Апостолове, 83336",+380 (01) 124-59-88,larysa54@example.org
Артюшенко,Тарас,Тимофійович,Чоловік,01.11.1997,Кінокритик,хутір Остер ,"набережна Змієнка Всеволода, буд. 108, Вуглегірськ, 74588",069 558-68-71,ihnatdubenko@example.com
Гречаник,Левко,Йосипович,Чоловік,29.10.1985,Єгер,хутір Буча,"узвіз Шахтинський, буд. 620 кв. 14, Монастириська, 65261",049 143 22 61,emiliia34@example.net
Бабич,Азар,Мартинович,Чоловік,07.11.2006,Сантехнік,місто Коломия,"вулиця Гагаріна, буд. 0 кв. 160, Дніпрорудне, 60627",+380 11 851-49-03,bohuslav30@example.com
Ярема,Ада,Адамівна,Жінка,10.06.1954,Стоматолог,хутір Мена ,"площа ПшеничнаРадищева, буд. 068 кв. 2, Глобине, 53495",+380 77 811-25-08,okhrymovychleontii@example.net
Давиденко,Костянтин,Арсенович,Чоловік,20.03.1950,Електрослюсар,місто Барвінкове,"проспект Чернівецький, буд. 59 кв. 96, Нетішин, 51832",476 65 52,tsymbaliukroman@example.net
Андрейко,Гліб,Федорович,Чоловік,22.12.1960,Медик,село Дергачі,"вулиця 1-ша Лінія Марії Демченко, буд. 7 кв. 44, Броди, 21705",+380 42 047-55-74,arkadiiievtushenko@example.net
Яременко,Єлисей,Лукʼянович,Чоловік,31.01.2004,Електрослюсар,місто Яремче,"вулиця Садова 4-та, буд. 9 кв. 2, Молочанськ, 36497",245-04-70,andriiandriievych@example.net
Токар,Ілля,Дмитрович,Чоловік,30.01.1985,Ді-джей,село Сулимівка (Слов'янськ),"площа Пастера, буд. 732, Сорокине, 63767",+380 (04) 370-95-60,bshelest@example.com
Журавель,Василь,Олександрович,Чоловік,26.04.1979,Ріелтор,село Лозова ,"вулиця Міцкевича, буд. 916 кв. 346, Прип'ять , 78391",671 28 36,ustenkosofiia@example.org
Конопленко,Артем,Мартинович,Чоловік,14.01.1941,Візажист,село Алчевськ,"вулиця Вірського, буд. 06 кв. 1, Щастя , 65888",285-23-57,vieroshenko@example.net
Чміль,Панас,Володимирович,Чоловік,23.11.1967,Соціолог,хутір Сторожинець,"сквер Машинобудівний, буд. 1 кв. 6, Борислав, 32997",+380 16 725-54-15,perebyinisruslan@example.net
Цісик,Ярослава,Максимівна,Жінка,03.05.1997,Дипломат,місто Берегове,"набережна Виноградний, буд. 0, Тернопіль, 01461",026-39-03,anastasiiabazavluchenko@example.org
Матвієнко,Алла,Аврелійовна,Жінка,12.01.1944,Електромонтер,село Старий Крим,"вулиця Лузанівка, буд. 09, Дрогобич, 07025",282 18 86,etarasenko@example.org
Приймак,Ганна,Германівна,Жінка,26.12.1954,Графік,селище Бурштин ,"парк Алмазна, буд. 473, Полтава, 45624",+380 18 264-57-67,iakivzubko@example.net
Яремків,Михайлина,Іллівна,Жінка,03.10.1951,Швачка,село Кам'янське,"провулок 10-та Лінія Марії Демченко, буд. 22, Першотравенськ, 54652",+380 78 001 73 46,maksym61@example.com
Тимчук,Максим,Володимирович,Чоловік,14.03.1973,Петрограф,селище Канів,"площа Яружний, буд. 78, Часів Яр, 94654",023 328 95 60,snizhana18@example.com
Корпанюк,Олекса,Григорійович,Чоловік,24.11.1987,Модельєр,село Новгород-Сіверський,"провулок Вертелецького, буд. 91 кв. 94, Житомир, 72918",840 39 41,kamillalesyk@example.net
Сиротенко,Христина,Михайлівна,Жінка,08.01.1966,Парфюмер,село Ямпіль,"шосе Хаджибейський 1-й, буд. 19 кв. 7, Донецьк, 67504",+380 (95) 781-82-58,sviatoslav31@example.com
Овчаренко,Євген,Демидович,Чоловік,22.03.1998,Намотувальник,місто Південне ,"вулиця Станційна 2-га, буд. 07, Львів, 07361",002 214-77-16,arkadii30@example.net
Дубина,Соломія,Владиславівна,Жінка,25.06.1978,Кінокритик,хутір Рені,"шосе Молодіжна, буд. 7, Ладижин, 36615",459-04-28,batihsemen@example.org
Джунь,Демид,Русланович,Чоловік,10.04.1940,Інженер,село Старокостянтинів,"сквер Учительський, буд. 43, Кам'янське, 38479",042 436-98-88,xarsenych@example.com
Корбут,Костянтин,Костянтинович,Чоловік,07.12.1943,Хімік,село Мелітополь,"сквер Маланова, буд. 03, Покров, 56424",+380 60 136-08-61,leopold85@example.com
Кармалюк,Дарина,Тарасівна,Жінка,14.02.1949,Письменник,село Лубни,"сквер Іванівський переїзд, буд. 40, Бахмач, 05391",015 420 85 11,ehavrylenko@example.com
Копитко,Вікторія,Несторівна,Жінка,16.12.1960,Електрик,село Горішні Плавні,"набережна Локомотивний 4-й, буд. 8 кв. 3, Сімферополь, 89134",040 366-06-99,iizhak@example.com
Кабалюк,Артем,Соломонович,Чоловік,07.03.2001,Мінералог,хутір Сєвєродонецьк,"парк Майстерний, буд. 26 кв. 976, Хорол , 39670",+380 (92) 826-12-63,varvara54@example.com
Полтавець,Назар,Станіславович,Чоловік,25.09.2000,Бібліограф,хутір Єнакієве,"проспект Італійський, буд. 926, Кам'янка-Дніпровська, 13238",+380 13 859-58-90,khoma20@example.net
Фурс,Прохір,Олесьович,Чоловік,28.03.2005,Музикознавець,селище Чоп,"проспект Стороженка Олега, буд. 0 кв. 1, Вознесенськ, 37875",+380 90 106-97-10,nestor16@example.org
Охріменко,Григорій,Святославович,Чоловік,27.04.1980,М'ясник,місто Жовква,"набережна Новгородський 2-й, буд. 54 кв. 69, Коростень, 73021",+380 (78) 512-44-23,serhiipiatachenko@example.com
Дрозд,Марія,Геннадіївна,Жінка,09.06.1968,Фольклорист,хутір Березань ,"провулок Глазунова 2-й, буд. 5, Батурин, 07265",+380 (00) 271-74-09,ukarmaliuk@example.net
Батюк,Аніта,Веніяминівна,Жінка,18.12.1943,Випробувач,хутір Світлодарськ,"провулок Старосінна, буд. 09, Овруч, 87848",+380 (19) 515-84-12,serhiifranchuk@example.org
Павлик,Адам,Леонідович,Чоловік,21.04.1963,Парфюмер,хутір Горішні Плавні,"вулиця Бородінська, буд. 2 кв. 31, Дунаївці, 36047",+380 (33) 233-97-60,malykteodor@example.com
Тесленко,Маруся,Варфоломіївна,Жінка,27.03.2004,Продюсер,село Чугуїв,"площа Партизанська, буд. 70, Галич, 82386",+380 (90) 914-44-10,eibozhenkoadam@example.org
Юхименко,Гаврило,Ігорович,Чоловік,12.12.1939,Пекар,хутір Рогатин,"набережна Аеропортівський 5-й, буд. 8 кв. 335, Кременець, 94779",+380 52 028 40 40,liudmylaandriievych@example.net
Твердохліб,Варфоломій,Павлович,Чоловік,15.11.1980,Модельєр,хутір Харків,"узвіз 11-та ст. Великого Фонтану пляж, буд. 05 кв. 3, Погребище, 50833",572-46-49,azatovkaniuk@example.org
Гайворонський,Зиновій,Аркадійович,Чоловік,17.01.1948,Конструктор,місто Славута,"проспект Кренкеля, буд. 5 кв. 93, Іловайськ, 54614",057 709 32 63,kamilla06@example.net
Щербань,Ростислав,Варфоломійович,Чоловік,12.10.1988,Кухар,село Сніжне,"сквер 13-та Суворовська, буд. 4 кв. 452, Коростень, 97702",+380 (61) 645-22-64,uzabila@example.net
Ісаєнко,Валерій,Іванович,Чоловік,30.01.1968,Парфюмер,хутір Ржищів,"парк Лобачевського, буд. 24, Стебник, 22140",591 40 48,moskalkyrylo@example.org
Закусило,Оксенія,Іванівна,Жінка,23.12.1947,Різноробочий,місто Кременець,"площа Ляпідевського, буд. 114, Південне , 88400",098 932 87 82,edyta47@example.com
Гузь,Симон,Трохимович,Чоловік,26.07.1939,Фізик,селище Павлоград,"набережна Пересипська 10-та, буд. 35, Ромни, 53329",+380 (57) 769-83-68,taras31@example.org
Штокало,Степан,Болеславович,Чоловік,27.01.1984,Шериф,село Чернігів,"парк Лідерсівський, буд. 329 кв. 78, Надвірна, 73576",706-34-02,iakiv32@example.com
Доценко,Федір,Геннадійович,Чоловік,10.01.1999,Ді-джей,селище Миргород,"вулиця Андросовський, буд. 46, Токмак, 61660",+380 (59) 964-82-99,edytaskopenko@example.com
Тичина,Марко,Болеславович,Чоловік,01.01.1979,Диригент,село Кролевець,"провулок Сергія Ядова, буд. 770 кв. 1, Ковель, 62118",+380 80 353-12-45,irvanetsliudmyla@example.org
Тарасенко,Богуслав,Вікторович,Чоловік,24.12.2001,Літературознавець,селище Зоринськ,"вулиця Леваневського тупик, буд. 17, Старобільськ, 10686",+380 (66) 337-13-15,csymonenko@example.com
Ващук,Олекса,Яремович,Чоловік,10.09.2005,Математик,село Енергодар,"провулок Утьосова, буд. 41 кв. 477, Городище , 80161",+380 49 526 06 02,marta16@example.com
Ґерета,Ірина,Орхипівна,Жінка,19.01.2001,М'ясник,місто Привілля,"вулиця Лазурний 1-й, буд. 5, Львів, 66643",053 138 85 04,myron68@example.com
Артюшенко,Ліза,Глібівна,Жінка,25.07.1953,Професор,селище Волноваха,"шосе Манежний, буд. 869 кв. 83, Вижниця, 89027",+380 46 515 32 52,azhazharoman@example.org
Радченко,Степан,Павлович,Чоловік,20.10.1971,Маркетолог,село Тисмениця,"парк Лугова, буд. 1 кв. 100, Лебедин, 95033",+380 71 737 67 68,amvrosiiskorobohatko@example.org
Цибуленко,Данна,Аврелійовна,Жінка,23.10.1949,Музичний редактор,село Миронівка,"проспект Васнецова, буд. 4 кв. 819, Буринь, 11197",+380 (90) 679-27-71,pavloderevianko@example.com
Гаврилишина,Соломія,Петрівна,Жінка,14.12.1963,Вчитель,селище Сніжне,"провулок Раїси Сергієнко, буд. 795 кв. 669, Зіньків, 92481",+380 46 461 62 23,demian83@example.net
Андрощук,Соломон,Георгійович,Чоловік,03.05.1994,Гірничий інженер,село Борзна,"площа Чернігівська, буд. 9, Карлівка, 96745",089 925 05 72,okseniia88@example.org
Уманець,Оксана,Вікторівна,Жінка,23.04.1966,Детектив,селище Інкерман,"провулок Ванцетті, буд. 643 кв. 4, Київ, 87037",+380 99 059-34-34,anastasiia68@example.org
Токар,Остап,Тимофійович,Чоловік,25.01.1970,Слідчий,село Старий Самбір,"провулок Хвойний, буд. 875, Устилуг, 40621",092 830-45-92,fareniukliudmyla@example.net
Чаленко,Макар,Данилович,Чоловік,10.04.1973,Ботанік,село Світловодськ,"парк Утьосова, буд. 588, Вознесенівка, 72576",488 48 99,sviatoslavatsiutsiura@example.org
Дашенко,Камілла,Феофанівна,Жінка,12.06.1988,Кінокритик,селище Міусинськ,"площа Демократична, буд. 84, Герца, 58147",+380 48 566-03-84,vakhniioleh@example.net
Носаченко,Борислав,Олександрович,Чоловік,20.02.1989,Краєзнавець,хутір Золоте,"узвіз Маячний, буд. 0 кв. 3, Привілля, 35519",+380 78 245-60-01,vysochanoles@example.com
Іщенко,Арсен,Костянтинович,Чоловік,03.07.1961,Мистецтвознавець,хутір Балта,"вулиця Степана Разіна, буд. 78 кв. 2, Переяслав, 81753",700-09-16,shvachkodemian@example.org
Сиротенко,Любов,Ігнатівна,Жінка,17.08.2000,Редактор,хутір Кальміуське,"парк Каманіна, буд. 972, Лиман , 85339",+380 93 347 66 24,stepan09@example.com
Комар,Герман,Ігорович,Чоловік,13.08.1974,Антрополог,селище Снятин,"провулок Карантинна, буд. 49 кв. 4, Новгород-Сіверський, 04567",+380 26 973-61-75,uartymyshyn@example.org
Оніщук,Людмила,Сергіївна,Жінка,15.01.1961,Епідеміолог,селище Золочів,"шосе Виноградна 2-га, буд. 8, Красилів, 80048",+380 21 625 46 14,cchaika@example.com
Акуленко,Віталій,Опанасович,Чоловік,09.06.2005,Гінеколог,селище Вознесенівка,"провулок Керченський 3-й, буд. 63 кв. 42, Горохів, 14670",632 57 02,tymofii01@example.org
Чміль,Микита,Опанасович,Чоловік,20.10.1991,Євнух,село Липовець,"шосе Пересипський 2-й, буд. 5, Свалява, 84282",+380 38 838 32 47,marianakabanenko@example.net
Гресь,Пилип,Охрімович,Чоловік,14.05.1939,Мірошник,хутір Прип'ять ,"площа Героїв оборони Одеси, буд. 85, Бахмач, 77085",+380 39 628-25-18,skorobohatkoamvrosii@example.org
Воблий,Павло,Богданович,Чоловік,13.11.1940,Біолог,село Рудки,"шосе Лесі Українки, буд. 45, Миколаїв, 03979",+380 04 892-86-34,roksolana49@example.net
Ейбоженко,Святослав,Васильович,Чоловік,10.12.1962,Кінорежисер,селище Христинівка,"парк Газова, буд. 144 кв. 6, Борзна, 83889",325-81-42,handreiko@example.net
Корсун,Ігор,Станіславович,Чоловік,12.09.1989,Хореограф,селище Корець,"набережна Чапаєва 2-й, буд. 4, Бердянськ, 25120",002 994 90 08,tryhubbohuslava@example.com
Міщенко,Богодар,Панасович,Чоловік,25.02.1998,Реставратор,хутір Іловайськ,"вулиця Планетна, буд. 98, Кривий Ріг, 03216",469-81-47,iaroslavababiak@example.org
Царенко,Ілля,Йосипович,Чоловік,02.05.1974,Державний службовець,місто Полтава,"площа Воронцовський, буд. 6 кв. 642, Приморськ (Україна), 70058",084 999 78 37,dannavashchuk@example.com
Атаманчук,Герман,Мартинович,Чоловік,23.05.1941,Фотограф,селище Борщів,"сквер Щоголєва, буд. 9 кв. 8, Вільнянськ, 87113",+380 77 082-73-63,wchaika@example.com
Іваненко,Михайлина,Аркадіївна,Жінка,21.05.1974,Філолог,хутір Броди,"сквер Новоберегова, буд. 8, Чугуїв, 44101",246 49 99,ksheremet@example.org
Єресько,Маруся,Орхипівна,Жінка,28.11.1995,Письменник,село Турка,"вулиця Новгородська, буд. 725, Славута, 01585",+380 19 994-58-49,wkorolenko@example.net
Шеремет,Вікторія,Зорянівна,Жінка,20.12.1966,Медик,село Новомосковськ,"вулиця Художника Федорова, буд. 9 кв. 57, Прилуки, 66076",+380 19 613-56-73,klymentiurchyshyna@example.com
Кармалюк,Святослав,Єфремович,Чоловік,06.04.1961,Флорист,місто Любомль,"сквер Мічуріна, буд. 62 кв. 40, Глухів, 67897",666 16 55,marusiahavryshkevych@example.com
Архимович,Августин,Богуславович,Чоловік,12.11.1965,Публіцист,селище Горлівка,"набережна Авдєєва-Чорноморського, буд. 6 кв. 47, Сватове, 22602",+380 30 678 91 69,parmengoliash@example.com
Яценко,Ярослав,Зиновійович,Чоловік,29.08.1956,Археолог,хутір Тисмениця,"вулиця Чорноморський 5-й, буд. 5 кв. 125, Саки , 86892",026 566 91 70,veniiamynmakohon@example.net
Вернигора,Тарас,Пилипович,Чоловік,13.06.1962,Гицель,село Косів,"проспект Прокатна, буд. 4, Олешки, 49690",665-68-03,vashchukvalentyn@example.com
Іващенко,Ігнат,Михайлович,Чоловік,25.06.2006,Зоолог,село Чистякове,"набережна Чернівецький, буд. 615, Канів, 69854",+380 (54) 621-18-55,haidademyd@example.com
Черінько,Григорій,Іванович,Чоловік,15.07.1979,Бізнесмен,село Ватутіне,"набережна Ширяївський, буд. 87, Василівка , 71123",083 128-07-47,orkhypnesterenko@example.org
Байда,Орхип,Глібович,Чоловік,17.10.1952,Сценарист,хутір Перевальськ,"шосе Агрономічна, буд. 2, Мелітополь, 49769",802-13-88,volodymyra04@example.org
Гузь,Артем,Борисович,Чоловік,29.08.1987,Музикознавець,місто Кремінна,"проспект 6-та Лінія Марії Демченко, буд. 9, Лиман , 53609",+380 35 381-73-50,varfolomiidrozdenko@example.org
Данчук,Марія,Іллівна,Жінка,28.05.1961,Дипломат,місто Тлумач,"вулиця Сливова, буд. 3, Хрестівка, 70092",987 56 44,kyrylodziuba@example.com
Щербань,Ярина,Лесівна,Жінка,29.10.1956,Археолог,селище Жданівка,"шосе Стеценко, буд. 84, Конотоп, 91142",+380 (12) 676-89-87,habelkovenedykt@example.net
Ільєнко,Анжела,Сергіївна,Жінка,05.07.1952,Юрист,місто Надвірна,"набережна Короткий, буд. 849, Ковель, 50269",+380 86 271-79-90,evasylechko@example.org
Яремко,Орися,Азарівна,Жінка,22.07.2007,Фрілансер,хутір Калуш,"шосе Маланова, буд. 091 кв. 6, Кривий Ріг, 89615",+380 62 464 04 13,tarasderiazhna@example.org
Вертипорох,Охрім,Сергійович,Чоловік,10.03.2000,Медик,село Зимогір'я,"сквер Газовий, буд. 7, Жданівка, 87182",077 374 58 51,havryliukopanas@example.net
Матвієнко,Йосип,Антонович,Чоловік,16.06.1943,Няня,село Городок,"набережна Горбатий міст, буд. 57, Харцизьк, 05289",643 80 18,bohuslavapryimak@example.org
Гайдай,Валентина,Максимівна,Жінка,12.04.1983,Стропальник,село Горлівка,"узвіз Крайня, буд. 57 кв. 331, Дергачі, 98422",+380 (48) 227-62-91,liliia88@example.org
Арсенич,Тереза,Богодарівна,Жінка,11.12.1953,Локсмайстер,село Герца,"парк 14-та Суворовська, буд. 62, Соледар, 68728",+380 46 538-13-89,sachenkomyroslav@example.com
Ейбоженко,Єлисей,Макарович,Чоловік,25.11.1938,Правник,хутір Жданівка,"сквер Академіка Гаркавого, буд. 9 кв. 10, Старий Крим, 13049",007 157-08-88,khoma80@example.net
Ящук,Демид,Данилович,Чоловік,26.01.2007,Золотар,місто Бахмут,"сквер Чорноморський 10-й, буд. 60 кв. 8, Енергодар, 98720",+380 99 137-20-15,kostiantyn30@example.net
Балабан,Лесь,Панасович,Чоловік,14.12.1989,Ветеринар,село Новомосковськ,"шосе Кощового отамана, буд. 1 кв. 64, Дергачі, 85487",050 492-96-91,ievdokymenkosnizhana@example.net
Єременко,Любов,Ааронівна,Жінка,26.03.1975,Медик,селище Берислав,"площа Підйомний, буд. 6 кв. 891, Алмазна, 64917",354-33-12,spas81@example.net
Сімашкевич,Єва,Єлисеївна,Жінка,02.07.1958,Фольклорист,селище Погребище,"шосе Проценка, буд. 03 кв. 497, Трускавець, 54032",+380 04 007-51-73,telizhenkovolodymyra@example.org
Лазаренко,Семен,Артемович,Чоловік,28.08.1982,Менеджер,селище Арциз,"сквер Соляний 5-й, буд. 481 кв. 65, Харків, 45433",036 290 75 38,demydenkotrokhym@example.com
Вівчаренко,Аніта,Миколаївна,Жінка,21.02.2004,Прокурор,хутір П'ятихатки,"проспект Пересипська 4-та, буд. 25, Вилкове, 29896",+380 (86) 388-83-57,uderevianko@example.org
Байда,Макар,Максимович,Чоловік,27.12.1998,Хімік,місто Кам'янка (Черкаська область),"шосе Наявний 6-й, буд. 077 кв. 3, Зимогір'я, 04122",+380 11 309-89-41,olesakymenko@example.org
Арсенич,Макар,Леонідович,Чоловік,27.08.2002,Доцент,селище Деражня,"узвіз Успенська, буд. 5 кв. 705, Вознесенівка, 19802",+380 06 825-60-65,ieva14@example.org
Гаврилишин,Лілія,Азарівна,Жінка,14.02.1974,Кухар,хутір Нікополь,"парк Молодіжна, буд. 33 кв. 29, Чорнобиль, 75764",052-98-75,adamchukleontii@example.org
Жук,Іван,Юхимович,Чоловік,19.07.1990,Етнограф,хутір Баранівка,"провулок Деволанівський узвіз, буд. 0, Гола Пристань, 02718",042 816 20 73,piatachenkoparmen@example.com
Ірванець,Данна,Юхимівна,Жінка,17.06.1947,Водій,селище Тетіїв,"парк Мирна, буд. 420 кв. 263, Берислав, 19935",033 437 53 42,stanislav62@example.net
Гузій,Людмила,Єлисеївна,Жінка,06.02.1958,Геолог,селище Біляївка,"вулиця Олександра Невського 3-й, буд. 9 кв. 8, Корсунь-Шевченківський, 19522",014 082 23 11,trokhymshovkoplias@example.net
Цісик,Григорій,Петрович,Чоловік,25.08.2007,Диригент,село Устилуг,"парк Депутатський, буд. 9 кв. 5, Алушта, 44688",+380 50 445 10 40,slubenets@example.com
Сацюк,Едита,Андріївна,Жінка,24.03.2005,Будник,хутір Арциз,"проспект Усатівська, буд. 97, Болехів, 12383",071 385-27-67,datsiukandrii@example.org
Пушкар,Лариса,Демʼянівна,Жінка,21.08.1958,Парфюмер,селище Остер ,"площа Лінія 52-га, буд. 1 кв. 57, Валки , 17207",709-24-43,pylyp78@example.org
Байда,Лілія,Теодорівна,Жінка,22.12.1952,Адвокат,село Новомиргород,"провулок Підйомний, буд. 16 кв. 021, Запоріжжя, 78469",575-38-37,ivanbatih@example.com
Цимбал,Аліна,Михайлівна,Жінка,15.08.1963,Археолог,селище Ватутіне,"парк Армійська, буд. 39, Запоріжжя, 59671",+380 54 457-64-45,ihavrysh@example.net
Гавриш,Володимир,Ярославович,Чоловік,28.08.1984,Письменник,село Сміла,"узвіз Водопровідний 3-й, буд. 496 кв. 68, Носівка, 74228",545 31 70,llutsenko@example.com
Демʼянчук,Захар,Вʼячеславович,Чоловік,02.02.1950,Маркетолог,хутір Ківерці,"проспект Виноградний, буд. 6 кв. 287, Южноукраїнськ, 31852",820-70-15,illiapoltavets@example.com
Стець,Камілла,Остапівна,Жінка,23.05.1945,Електротехнік,хутір Молодогвардійськ,"набережна Ламаний, буд. 5 кв. 2, Зборів, 94400",+380 (50) 860-94-37,udovychenkoliubov@example.com
Бездітко,Яків,Олегович,Чоловік,13.09.1984,Філолог,хутір Бучач,"сквер Сміливий, буд. 587 кв. 502, Білозерське, 52134",053 582-41-83,borys66@example.net
Архимович,Мартин,Юхимович,Чоловік,15.11.1987,Реставратор,хутір Славутич,"шосе Український 2-й, буд. 2 кв. 84, Верхньодніпровськ, 18316",+380 49 733-57-34,oksana76@example.net
Царенко,Ольга,Ростиславівна,Жінка,19.11.1996,Локсмайстер,селище Ворожба,"сквер Ломоносова, буд. 856, Тальне, 07271",+380 57 009-37-75,artymmarta@example.com
Проценко,Тарас,Єфремович,Чоловік,13.04.1949,Науковець,хутір Сторожинець,"парк Стовпова, буд. 578 кв. 6, Канів, 56043",+380 66 346-68-74,gokhrimenko@example.com
Шеремета,Петро,Васильович,Чоловік,23.12.1982,Фармацевт,місто Кролевець,"узвіз Тупиковий 1-й, буд. 5, Жмеринка, 19262",+380 15 612-43-18,romanaleksiuk@example.net
Гречаник,Богданна,Азарівна,Жінка,27.06.1997,Локсмайстер,хутір Бібрка,"вулиця Пушкінська, буд. 19 кв. 19, Василівка , 73010",032 975-24-17,fandriishyn@example.com
Тригуб,Зиновій,Стефанович,Чоловік,24.11.2002,Фізик,село Білозерське,"вулиця Місячна, буд. 4, Волноваха, 48383",+380 (96) 848-20-32,iaroslavartiukh@example.com
Щорс,Надія,Семенівна,Жінка,25.09.1954,Кінокритик,селище Пирятин,"провулок Перлинна, буд. 16, Торецьк, 30569",+380 25 500-46-08,psalii@example.com
Скиба,Віталій,Августинович,Чоловік,29.05.1956,Кінолог,село Довжанськ,"проспект Щукіна, буд. 77, Дубно, 78860",060 681-11-68,vdovenkovasylyna@example.com
Закусило,Веніямин,Устимович,Чоловік,17.05.2003,Патологоанатом,місто Кам'янка-Бузька,"проспект Стовпова, буд. 601, Зборів, 70851",902 46 28,mariana06@example.net
Кабалюк,Григорій,Георгійович,Чоловік,08.04.2006,Будник,місто Новомиргород,"провулок Академічна, буд. 164, Покров, 31485",+380 (82) 153-98-59,demydenkoroksolana@example.org
Тичина,Любов,Юстимівна,Жінка,05.05.1993,Пекар,село Гнівань,"проспект Куяльницький міст, буд. 40 кв. 33, Дрогобич, 42249",010 429 74 28,symonkadeniuk@example.org
Кибкало,Макар,Олесьович,Чоловік,07.06.1986,Правник,місто Попасна,"шосе Рожева, буд. 8, Нове Давидково, 01874",544-10-40,petro79@example.net
Чумаченко,Володимира,Станіславівна,Жінка,14.08.1982,Географ,селище Старокостянтинів,"провулок Бабеля, буд. 54, Бар, 68989",+380 01 316-37-62,kostiantynartiukh@example.com
Забашта,Тетяна,Панасівна,Жінка,27.11.1981,Головний меркшейдер,селище Ватутіне,"проспект Генуезька, буд. 1, Сколе, 79613",+380 32 139-06-78,nadiiahaievska@example.net
Штепа,Клавдія,Павлівна,Жінка,27.11.1958,Художник,селище Суходільськ,"шосе Монастирський, буд. 40, Підгородне, 10952",661-99-22,terezakhudiak@example.net
Терещенко,Мілена,Демидівна,Жінка,18.03.1949,Громадський діяч,хутір Монастириська,"узвіз Орловська, буд. 248 кв. 7, Зіньків, 53349",+380 23 236-72-68,anastasiia52@example.org
Цісик,Максим,Валерійович,Чоловік,07.02.1973,Лікар,село Білогірськ,"сквер Харківська, буд. 17 кв. 6, Богодухів, 65757",518-44-90,havryshliubov@example.com
Свистун,Данило,Борисович,Чоловік,03.03.1955,Патологоанатом,село Петрово-Красносілля,"сквер Магістральна, буд. 4 кв. 7, Новодружеськ, 86741",092 214-12-41,wskyba@example.com
Гавриш,Василь,Євгенійович,Чоловік,21.07.1982,Пілот,хутір Ковель,"провулок Кленова, буд. 68 кв. 48, Лиман , 28193",302 38 78,karpenkovira@example.com
Саченко,Марко,Юхимович,Чоловік,14.12.2000,Нотаріус,селище Таврійськ,"набережна Панченка, буд. 76 кв. 576, Перечин, 17233",015 05 63,pshakhrai@example.org
Затовканюк,Ліза,Остапівна,Жінка,30.01.1973,Кінолог,село Теплодар,"узвіз Композитора Глинки, буд. 596 кв. 054, Ржищів, 53186",031 330 21 10,ababii@example.com
Вдовенко,Соломія,Михайлівна,Жінка,23.05.1976,Кухар,хутір Ізяслав,"парк Мічуріна, буд. 44, Покров, 88560",+380 74 341-42-29,stepan27@example.com
Єрмоленко,Степан,Геннадійович,Чоловік,01.04.2004,Промисловець,село Рахів,"вулиця Василя Кандинського, буд. 351 кв. 6, Кодима, 37694",+380 38 744 55 45,hryhorii07@example.org
